epoch,train_mae
10,1.7061436176300049
20,0.9327710866928101
30,0.9969316720962524
40,0.9117836356163025
50,0.8961087465286255
60,0.8658765554428101
70,0.8400546312332153
80,0.8135189414024353
90,0.7908768653869629
100,0.7809861898422241
110,0.7752280235290527
120,0.7710247039794922
130,0.76716548204422
140,0.7637515068054199
150,0.7614838480949402
160,0.7601308226585388
170,0.7586957216262817
180,0.7570152878761292
190,0.7558775544166565
200,0.754268229007721
210,0.7530572414398193
220,0.7519635558128357
230,0.7510362863540649
240,0.7503954172134399
250,0.7495133280754089
260,0.74842768907547
270,0.7467274069786072
280,0.7459041476249695
290,0.744861364364624
300,0.7438467741012573
310,0.7430999875068665
320,0.7415854334831238
330,0.7404937148094177
340,0.7386710047721863
350,0.7381963729858398
360,0.7357845306396484
370,0.7340947985649109
380,0.7305442094802856
390,0.7284301519393921
400,0.7257652282714844
410,0.7237576842308044
420,0.7221676707267761
430,0.7206810712814331
440,0.7186227440834045
450,0.7184107303619385
460,0.7175273895263672
470,0.7147597670555115
480,0.7145744562149048
490,0.7132502794265747
500,0.711882472038269
