ablation,features,rows_train,rows_test,class_roc_auc,class_brier,class_ece,class_f1,logtip_rmse,expected_tip_mae
full,30,180000,120000,0.7692853090437433,0.052410385522271646,0.0037406003845862853,0.9692949618868734,0.3196928501136075,1.457255443768037
no_zones,22,180000,120000,0.7497384651703168,0.05316179027502656,0.003923363097777162,0.9692885666246323,0.32088496135218186,1.4672158161638342
no_time,24,180000,120000,0.764767173735912,0.05240348325495668,0.0035614268798666417,0.9692487553693171,0.3197748202965559,1.4559469903553635
no_fare,21,180000,120000,0.7691399614219183,0.05237496383048031,0.0039866515916553245,0.9692703065964424,0.3231666056981193,1.4687631405959354
no_distance,28,180000,120000,0.766768152790886,0.052450412709881884,0.004063436809169277,0.9692876091086577,0.3197993468712561,1.458617455829014
