epoch,train_loss,valid_loss
1,20.72276109457016,16.979398727416992
2,10.910826981067657,7.358664512634277
3,6.471457898616791,5.950746536254883
4,5.716799926012754,5.558601379394531
5,5.402177520096302,5.372148036956787
6,5.330822102725506,5.2765793800354
7,5.1955152954906225,5.207582473754883
8,5.180750362575054,5.156485080718994
9,5.100440418347716,5.1240644454956055
10,5.141239061951637,5.144589900970459
11,5.719614051282406,5.110703945159912
12,5.1488836435601115,5.081762790679932
13,5.18063360452652,5.074519634246826
14,5.1732756569981575,5.133732318878174
15,5.261690728366375,5.034482479095459
16,5.030967257916927,5.0553765296936035
17,4.998424318619072,5.019540786743164
18,5.164700515568256,5.033973693847656
19,5.080734526738524,5.035782814025879
20,5.03152634575963,5.028888702392578
21,5.023556895554066,5.010929584503174
22,4.976150976493955,5.000032424926758
23,4.991453822702169,4.99029541015625
24,4.966209826990962,5.000345230102539
25,4.961870622821152,4.979278087615967
26,5.093497782945633,5.037008285522461
27,5.05052730999887,4.98419189453125
28,4.944749796297401,4.989933013916016
29,5.214686751365662,5.020876884460449
30,5.047365512698889,4.967082977294922
31,5.255701407790184,4.981429100036621
32,5.138087585568428,4.971590042114258
33,4.972272744402289,4.962615013122559
34,4.976748175919056,4.961023330688477
35,4.947122320212657,4.976700782775879
36,4.937287002801895,4.959885597229004
37,4.923514572437853,4.9535932540893555
38,4.921317072585225,4.966797351837158
39,4.9163989895023406,4.947393417358398
40,5.567930869758129,4.989969253540039
41,5.107127266004682,4.986302375793457
42,4.9499698132276535,4.958468437194824
43,4.93844150705263,4.977495193481445
44,4.961732175201178,4.945034980773926
45,4.949589170515537,4.969542026519775
