low,high,rows,predicted,actual,gap
0.0,0.1,9194,0.000268889546,0.0,-0.000268889546
0.1,0.2,3,0.153241499293,0.0,-0.153241499293
0.2,0.3,20,0.272290323399,0.2,-0.07229032339899999
0.3,0.4,113,0.358149496681,0.300884955752,-0.05726454092899996
0.4,0.5,490,0.462960396559,0.520408163265,0.057447766705999936
0.5,0.6,1450,0.553568777189,0.548275862069,-0.0052929151199999636
0.6,0.7,2568,0.655660323797,0.661604361371,0.005944037573999972
0.7,0.8,9301,0.759964858784,0.763143747984,0.003178889199999979
0.8,0.9,36250,0.861888534414,0.858289655172,-0.003598879242000086
0.9,1.0,444611,0.958387080261,0.954459066465,-0.003928013795999941
