ablation,features,rows_train,rows_valid,rows_test,device,best_valid_loss,class_roc_auc,class_average_precision,class_log_loss,class_brier,class_ece,logtip_mae,logtip_rmse,interval80_coverage,interval80_mean_width,expected_tip_mae
full,30,378000,126000,504000,cuda,-0.5152621269226074,0.735041780876415,0.9613939493609784,0.5967846530467042,0.20324498475761144,0.3777651664478595,0.23528451845360004,0.32401718953779035,0.7271172272708715,3.4511776241695693,2.36677916826792
no_zones,22,378000,126000,504000,cuda,-0.5379088674822161,0.7361561724980613,0.9624400441510198,0.6385938974830339,0.22338148915745193,0.40234498914563677,0.21362083980460347,0.3225890728040093,0.7736509935297543,3.608100114967398,2.360639642985737
no_time,24,378000,126000,504000,cuda,-0.23910100085120048,0.732705532530657,0.9616153384225747,0.5898177005532874,0.19974483080191008,0.3699721435433418,0.23528944170037072,0.3247344944241697,0.7215280180333118,3.20319844584415,2.3687593804193847
no_fare,21,378000,126000,504000,cuda,-0.1597398889641608,0.747131856612723,0.9646113060997819,0.5900179538097708,0.1986564350359176,0.36612145769939836,0.21855240425124112,0.33021758675988305,0.8121673281602885,4.017895223851583,2.296058174443117
no_distance,28,378000,126000,504000,cuda,-0.4054523148844319,0.7341165368645965,0.9615079740191914,0.6690440389363406,0.23589301270946936,0.4123251459518852,0.2489974082055321,0.33166913428653805,0.6586284626343849,3.435489717211448,2.4978818975670167
