epoch,train_loss,valid_loss
1,22.151213467121124,18.529903411865234
2,11.886661373078823,6.98158597946167
3,7.23493780195713,5.972822189331055
4,5.738605558872223,5.5768914222717285
5,5.4041816387325525,5.392000675201416
6,5.504539601504803,5.319548606872559
7,5.272654038621113,5.2524333000183105
8,5.255431905388832,5.214945316314697
9,5.772919736802578,5.218531131744385
10,5.534229300916195,5.201065540313721
11,5.175029184669256,5.1738104820251465
12,5.1416568867862225,5.146602630615234
13,5.393667548894882,5.135143756866455
14,6.108819283545017,5.208069324493408
15,5.3340159899089485,5.152763366699219
16,5.088804555009119,5.112843990325928
17,5.0944976061582565,5.101644039154053
18,5.059033362194896,5.088376522064209
19,5.09836894646287,5.077940940856934
20,5.051967680105008,5.067254066467285
21,5.03150911105331,5.058950901031494
22,5.055334255099297,5.057058334350586
23,5.057983793318272,5.046210289001465
24,5.335005030035973,5.049980163574219
25,5.088566921651363,5.058206081390381
26,5.162260539829731,5.033517837524414
27,5.046042239293456,5.033735275268555
28,5.125825397670269,5.0323991775512695
29,5.018426710739732,5.0222086906433105
30,5.266288474202156,5.030515193939209
31,5.185567855834961,5.0379958152771
32,5.049458775436506,5.0630292892456055
33,5.028511110693216,5.033741474151611
34,5.058770351111889,5.016981601715088
35,5.122045911848545,5.017575263977051
36,5.035929901525378,5.019476890563965
37,5.089696288108826,4.998662948608398
38,5.057578664273024,5.004791259765625
39,4.988307431340218,5.004578113555908
40,4.964506557676941,5.002431869506836
41,4.986090790480375,4.987369537353516
42,4.9931827411055565,4.9842681884765625
43,4.9590311210777145,4.991307735443115
44,5.116253167390823,4.972525596618652
45,5.01330754160881,4.989237308502197
