taxi_type,date,hour,rows,tip_rate,avg_tip,median_tip,tip_rate_next,avg_tip_next
green,2024-01-02,10,28,0.9285714285714286,3.6332142857142857,2.76,0.95,3.035
green,2024-01-02,11,20,0.95,3.035,2.9699999999999998,0.9473684210526315,3.4321052631578945
green,2024-01-02,12,19,0.9473684210526315,3.4321052631578945,3.14,1.0,4.137222222222222
green,2024-01-02,13,18,1.0,4.137222222222222,4.1899999999999995,0.95,3.5265
green,2024-01-02,14,20,0.95,3.5265,2.94,0.8823529411764706,2.9794117647058824
green,2024-01-02,15,17,0.8823529411764706,2.9794117647058824,2.55,0.92,3.2072000000000003
green,2024-01-02,16,25,0.92,3.2072000000000003,3.64,0.8571428571428571,3.1807142857142856
green,2024-01-02,17,28,0.8571428571428571,3.1807142857142856,2.635,0.9523809523809523,2.9628571428571426
green,2024-01-02,18,21,0.9523809523809523,2.9628571428571426,2.93,0.85,2.372
green,2024-01-02,19,20,0.85,2.372,2.375,1.0,4.106111111111111
green,2024-01-02,20,18,1.0,4.106111111111111,2.9050000000000002,0.9166666666666666,3.035
green,2024-01-02,21,12,0.9166666666666666,3.035,2.8499999999999996,1.0,4.484999999999999
green,2024-01-02,22,4,1.0,4.484999999999999,3.06,0.8,4.756
green,2024-01-03,0,5,1.0,4.118,3.61,1.0,4.585
green,2024-01-03,5,3,1.0,6.166666666666667,5.9,1.0,7.855
green,2024-01-03,6,4,1.0,7.855,2.87,0.9,3.6004999999999994
green,2024-01-03,7,20,0.9,3.6004999999999994,2.495,1.0,4.569090909090909
green,2024-01-03,8,11,1.0,4.569090909090909,3.0,0.96875,4.4084375
green,2024-01-03,9,32,0.96875,4.4084375,3.0,0.9047619047619048,4.345714285714286
green,2024-01-03,10,21,0.9047619047619048,4.345714285714286,3.39,0.875,3.07875
green,2024-01-03,11,16,0.875,3.07875,2.575,0.9047619047619048,4.372857142857143
green,2024-01-03,12,21,0.9047619047619048,4.372857142857143,3.55,0.8695652173913043,3.8465217391304347
