ablation,features,rows_train,rows_test,class_roc_auc,class_brier,class_ece,class_f1,logtip_rmse,expected_tip_mae
full,30,180000,120000,0.7692853090437433,0.05241038552227163,0.0037406003845861795,0.9692949618868734,0.3196928501136075,1.4572554437680372
no_zones,22,180000,120000,0.7497384651703168,0.05316179027502656,0.003923363097777356,0.9692885666246323,0.32088496135218186,1.4672158161638347
no_time,24,180000,120000,0.764767173735912,0.052403483254956675,0.003561426879866543,0.9692487553693171,0.31977482029655596,1.4559469903553632
no_fare,21,180000,120000,0.7691399614219182,0.052374963830480306,0.003986651591655228,0.9692703065964424,0.3231666056981192,1.4687631405959354
no_distance,28,180000,120000,0.7667681527908861,0.052450412709881884,0.004063436809169178,0.9692876091086577,0.31979934687125616,1.458617455829014
