taxi_type,pickup_borough,pickup_zone,rows,observed_tip_rate,predicted_tip_probability,observed_avg_tip,expected_tip,q10_tip,q50_tip,q90_tip
green,Brooklyn,Brooklyn Heights,1402,0.9400855920114123,0.4479632,4.907510699001427,1.9998771,2.3092048,5.0701604,6.348383
green,Queens,Ozone Park,1,1.0,0.2891858,10.82,1.9827809,3.1368086,8.100264,10.932225
green,Queens,Corona,86,0.686046511627907,0.20623079,7.1991860465116275,1.9457031,3.9946384,11.720882,15.538687
green,Queens,Queens Village,5,0.8,0.25025055,11.89,1.9192855,3.3067539,9.854724,13.83711
green,Manhattan,Highbridge Park,7,0.5714285714285714,0.3141187,2.9642857142857144,1.856559,1.8594924,6.5896797,8.212749
green,Brooklyn,South Williamsburg,17,0.6470588235294118,0.24247071,6.314705882352941,1.8560781,3.3753312,10.230806,13.159778
green,Queens,JFK Airport,18,0.7777777777777778,0.32367966,7.928888888888888,1.8421917,2.8737345,7.16922,9.151
green,Brooklyn,Prospect Park,38,0.9736842105263158,0.4073113,6.507631578947368,1.8322408,2.5066586,5.38268,6.8980346
green,Manhattan,East Harlem North,43621,0.9424130579308131,0.5308795,3.407654799293918,1.8125582,1.8355689,3.6909606,4.5731983
green,Manhattan,Morningside Heights,6924,0.9468515309069901,0.49901745,3.6969844020797225,1.8059087,1.8936988,3.8466475,4.880521
green,Manhattan,Inwood Hill Park,2,0.0,0.38012964,0.0,1.8024844,1.9750082,5.3494377,6.8946123
green,Brooklyn,Greenpoint,267,0.8651685393258427,0.36152244,5.159850187265918,1.798274,2.5935392,6.23837,7.7862453
green,Brooklyn,Brighton Beach,15,0.5333333333333333,0.32739842,4.636666666666667,1.7896034,2.8573675,5.8139725,7.417887
green,Brooklyn,Williamsburg (North Side),805,0.8782608695652174,0.3511899,5.216819875776397,1.7880019,2.492539,6.3331103,7.9984345
green,Manhattan,Bloomingdale,1051,0.9314938154138915,0.5266197,3.3006470028544244,1.7687528,1.779171,3.6300142,4.5175242
green,Manhattan,Hamilton Heights,695,0.897841726618705,0.43253836,3.709640287769784,1.7486243,1.9689959,4.193744,5.299642
green,Queens,Douglaston,2,0.5,0.15700938,4.55,1.7393433,3.8953135,14.803292,19.820774
