model,class_roc_auc,class_average_precision,class_log_loss,class_brier,class_ece,class_precision,class_recall,class_f1,logtip_mae,logtip_rmse,logtip_bias,expected_tip_mae,interval80_coverage,interval80_mean_width
logistic_ridge,0.7369609882009603,0.962399125466434,0.5741370196096169,0.19126193332203104,0.3538125537090064,0.956899694121749,0.7784601631851401,0.8585058469588586,0.2383795434782102,0.3394831069199797,-0.011634736343064982,2.5066832244282016,,
tree_hurdle,0.770509575859474,0.968648045921951,0.2047045936201543,0.05216000587753009,0.00390555829083489,0.9410902909870897,0.9993703812738928,0.9693551395927845,0.2222814686019012,0.31919290636909536,-0.014073957739683483,1.4475479483143066,,
transformer_mdn,0.7432551275598788,0.9631852683093771,0.598124510045222,0.2034561037977841,0.3768677930747026,0.9572923457139192,0.7857469792268797,0.8630781395678189,0.22868125431704353,0.32357460497754487,-0.02135494061065288,2.3430184120197124,0.749643824901528,3.454195785743613
