taxi_type,pickup_borough,rows,roc_auc,average_precision,log_loss,brier,ece,precision,recall,f1
yellow,Manhattan,319329,0.6580876170079316,0.9649875273157221,0.5229581551292901,0.1672889832483933,0.3489209802248764,0.9560227310054856,0.9637631008162657,0.9598773117419589
green,Manhattan,95085,0.6961784261383452,0.9642230225069349,0.6654593977086392,0.23565480952204593,0.41178840346596773,0.9671311383301494,0.5808792098809872,0.725817333370815
yellow,Queens,33615,0.7904276748873189,0.9587882921303122,0.6493676553639778,0.23090958487819938,0.3965458127899722,0.9567610478962688,0.6020180492190882,0.7390237920039244
green,Queens,27821,0.6409407937311747,0.9009248289466191,1.0399322703683735,0.40371808012751725,0.5295289225281404,0.9429778247096093,0.03775259998308954,0.07259867485061583
green,Brooklyn,20035,0.6075960596546565,0.925193121447222,0.8702468686558528,0.3303662706671759,0.490990563605254,0.9294724770642202,0.17888870496054737,0.30003239091203554
yellow,Brooklyn,4777,0.9836117222350524,0.9110955291423602,0.22152511315883944,0.08313643148164193,0.12253711720674275,0.9183673469387755,0.3593611357586513,0.5165816326530612
yellow,Bronx,1462,0.9961004667157946,0.8518773303649808,0.049550791313907154,0.018013284018609334,0.01995182653709739,1.0,0.06521739130434782,0.12244897959183673
green,Bronx,886,0.704222107021485,0.8656080426687774,1.14077042701584,0.41050174244128285,0.48043123436602925,0.9782608695652174,0.13996889580093314,0.24489795918367346
yellow,Unknown,806,0.6984119048809346,0.934285256184101,0.8077941055419401,0.3004528822484177,0.46254785174027857,0.9429657794676806,0.343015214384509,0.5030425963488844
