taxi_type,pickup_borough,pickup_zone,rows,tip_rate,avg_tip_amount,avg_fare_amount,avg_trip_distance
yellow,Manhattan,World Trade Center,3485,0.9236728837876614,5.089945480631276,23.895469153515066,4.296800573888092
yellow,Manhattan,Battery Park,268,0.9216417910447762,5.122649253731343,24.833582089552237,4.316417910447761
yellow,Manhattan,Lower East Side,7532,0.9195432819968136,3.7481465746149762,17.13307753584705,2.840290759426447
yellow,Manhattan,Kips Bay,7138,0.9152423648080695,3.294710002801905,14.757123844214066,2.319316335107873
yellow,Manhattan,Stuy Town/Peter Cooper Village,647,0.9134466769706336,3.4428593508500778,15.07420401854714,2.3590726429675426
yellow,Manhattan,Seaport,1314,0.91324200913242,4.507861491628615,21.782184170471844,18.893455098934552
yellow,Manhattan,Financial District South,1914,0.9106583072100314,4.978254963427377,24.278187042842212,4.690564263322884
yellow,Queens,Flushing Meadows-Corona Park,366,0.9043715846994536,9.548579234972678,54.18071038251366,9.876612021857923
yellow,Manhattan,Randalls Island,36,0.8888888888888888,11.488888888888889,50.7025,5.95888888888889
yellow,Manhattan,Chinatown,955,0.8869109947643979,4.407895287958115,22.226041884816752,3.883821989528796
yellow,Manhattan,Alphabet City,819,0.8644688644688645,3.3797557997557997,16.992588522588523,2.9376678876678874
yellow,Brooklyn,Williamsburg (North Side),201,0.8606965174129353,3.9450248756218906,21.55223880597015,3.921990049751244
yellow,Brooklyn,Brooklyn Navy Yard,21,0.8571428571428571,3.1295238095238096,22.14761904761905,2.9414285714285717
yellow,Manhattan,East Harlem South,3627,0.8566308243727598,3.0643507030603803,16.685279845602427,2.8497408326440583
yellow,Brooklyn,DUMBO/Vinegar Hill,206,0.8398058252427184,4.385291262135922,25.41359223300971,4.66126213592233
yellow,Queens,Saint Michaels Cemetery/Woodside,31,0.8387096774193549,10.613870967741935,60.67903225806452,5.987096774193549
yellow,Queens,Long Island City/Queens Plaza,208,0.8365384615384616,4.522836538461538,26.36653846153846,3.645576923076923
yellow,EWR,Newark Airport,16,0.8125,12.21875,70.3,2.870625
yellow,Brooklyn,Williamsburg (South Side),175,0.7942857142857143,4.3028,26.44045714285714,4.001371428571429
yellow,Brooklyn,Cobble Hill,97,0.7938144329896907,3.8023711340206185,23.37938144329897,4.273092783505155
yellow,Manhattan,Two Bridges/Seward Park,746,0.789544235924933,3.654450402144772,20.421166219839144,3.6379490616621983
yellow,Queens,Long Island City/Hunters Point,335,0.7701492537313432,8.397850746268658,49.71095522388059,6.293014925373134
yellow,Queens,Sunnyside,420,0.75,7.539357142857144,47.896571428571434,6.533595238095239
yellow,Manhattan,Central Harlem,1344,0.7433035714285714,2.6141815476190478,18.099635416666665,3.308831845238095
yellow,Manhattan,Manhattanville,303,0.735973597359736,2.7757755775577557,19.05019801980198,3.5070297029702973
yellow,Brooklyn,Greenpoint,108,0.7314814814814815,4.463888888888889,24.598148148148148,4.4312962962962965
yellow,Brooklyn,Columbia Street,11,0.7272727272727273,4.820909090909091,23.90909090909091,5.107272727272727
yellow,Queens,Maspeth,84,0.7261904761904762,6.862142857142857,41.986785714285716,5.9070238095238095
yellow,Brooklyn,Downtown Brooklyn/MetroTech,371,0.7250673854447439,4.244393530997304,27.178274932614553,5.33633423180593
yellow,Brooklyn,Carroll Gardens,52,0.7115384615384616,3.3859615384615385,21.248076923076926,3.6515384615384616
yellow,Queens,Steinway,123,0.7073170731707317,7.812195121951219,48.54528455284552,6.395691056910569
yellow,Queens,Astoria,208,0.7019230769230769,3.438798076923077,24.206249999999997,4.052692307692308
yellow,Manhattan,East Harlem North,1077,0.6935933147632312,2.5821262766945217,18.418848653667595,3.297038068709378
yellow,Bronx,Pelham Bay Park,3,0.6666666666666666,5.153333333333333,50.0,13.016666666666666
yellow,Brooklyn,Green-Wood Cemetery,3,0.6666666666666666,2.0933333333333333,39.833333333333336,3.33
yellow,Brooklyn,Marine Park/Floyd Bennett Field,3,0.6666666666666666,4.0,44.166666666666664,5.713333333333334
yellow,Queens,Forest Park/Highland Park,3,0.6666666666666666,10.969999999999999,52.300000000000004,5.96
yellow,Brooklyn,Brooklyn Heights,284,0.6654929577464789,3.219049295774648,25.917183098591547,5.044471830985915
yellow,Queens,Old Astoria,86,0.6627906976744186,3.824302325581395,23.90046511627907,4.443255813953488
yellow,Queens,Baisley Park,226,0.6504424778761062,10.202477876106196,65.68871681415929,13.209070796460177
yellow,Queens,Woodside,123,0.6504065040650406,6.160813008130081,45.9259349593496,5.709430894308943
yellow,Queens,South Ozone Park,275,0.6181818181818182,9.824981818181818,72.49498181818181,5.1233818181818185
yellow,Unknown,Outside of NYC,157,0.5923566878980892,11.26859872611465,81.35891719745223,5.941847133757962
yellow,Brooklyn,Boerum Hill,291,0.5910652920962199,2.9661168384879724,24.959656357388315,4.934810996563574
yellow,Brooklyn,Red Hook,106,0.5849056603773585,6.55,45.72198113207547,9.012830188679246
yellow,Brooklyn,Prospect Park,24,0.5833333333333334,2.8216666666666668,21.454166666666666,4.00375
yellow,Manhattan,Hamilton Heights,352,0.5823863636363636,2.9466761363636365,24.032840909090908,4.650710227272727
yellow,Queens,Kew Gardens,91,0.5714285714285714,7.903076923076923,64.71912087912088,6.012637362637363
yellow,Queens,Jackson Heights,176,0.5625,5.933295454545455,45.58596590909091,4.870397727272728
yellow,Brooklyn,East Williamsburg,176,0.5568181818181818,3.9267045454545455,30.85244318181818,5.159943181818182
yellow,Brooklyn,Fort Greene,346,0.546242774566474,2.710722543352601,24.305953757225435,4.603236994219653
yellow,Manhattan,Washington Heights South,362,0.5303867403314917,2.7162154696132594,27.491657458563534,6.056767955801106
yellow,Queens,Springfield Gardens South,119,0.5210084033613446,8.039411764705882,67.64983193277311,12.581596638655462
yellow,Bronx,Bronx Park,2,0.5,8.865,44.3,10.405000000000001
yellow,Brooklyn,Park Slope,248,0.4637096774193548,2.5960080645161288,26.70116935483871,5.06741935483871
yellow,Queens,Elmhurst/Maspeth,48,0.4583333333333333,4.39,39.137499999999996,6.067291666666667
yellow,Brooklyn,Prospect Heights,82,0.45121951219512196,2.214512195121951,24.38780487804878,4.354146341463415
yellow,Queens,Howard Beach,23,0.43478260869565216,6.784782608695653,54.60565217391304,6.578260869565218
yellow,Queens,Briarwood/Jamaica Hills,65,0.4307692307692308,6.369692307692307,51.74307692307693,8.94276923076923
yellow,Queens,Bay Terrace/Fort Totten,7,0.42857142857142855,5.8585714285714285,47.32857142857143,11.95142857142857
yellow,Queens,Elmhurst,82,0.4268292682926829,5.503292682926829,41.185609756097556,7.417926829268293
yellow,Queens,Jamaica,192,0.3958333333333333,4.534166666666667,47.32598958333333,10.190624999999999
yellow,Queens,Queensbridge/Ravenswood,78,0.38461538461538464,3.3882051282051284,29.641025641025642,5.737435897435897
yellow,Queens,Corona,70,0.35714285714285715,5.513714285714285,46.816428571428574,8.110285714285714
yellow,Queens,South Jamaica,156,0.3525641025641026,5.4411538461538465,53.32320512820513,12.187179487179488
yellow,Queens,Richmond Hill,166,0.3493975903614458,5.581987951807229,55.23795180722892,7.239277108433735
yellow,Queens,College Point,15,0.3333333333333333,3.2439999999999998,40.46666666666667,8.814666666666666
yellow,Queens,Astoria Park,3,0.3333333333333333,5.396666666666667,42.9,6.313333333333333
yellow,Queens,Willets Point,3,0.3333333333333333,2.1766666666666667,79.73333333333333,11.906666666666666
yellow,Manhattan,Central Harlem North,555,0.31891891891891894,1.1978378378378378,24.853783783783783,5.1954954954954955
yellow,Manhattan,Washington Heights North,126,0.31746031746031744,2.086746031746032,30.752698412698415,6.871746031746032
yellow,Queens,Rego Park,55,0.3090909090909091,3.7812727272727273,44.39363636363637,7.211636363636363
yellow,Brooklyn,Bushwick North,60,0.3,1.9685,25.938333333333333,5.578833333333334
yellow,Brooklyn,Windsor Terrace,25,0.28,1.7247999999999999,29.968000000000004,6.8764
yellow,Queens,Middle Village,25,0.28,6.8412,50.508,9.4076
yellow,Bronx,West Concourse,84,0.2619047619047619,2.8157142857142854,36.71309523809524,8.615595238095239
yellow,Brooklyn,Gowanus,36,0.25,1.6758333333333333,25.611944444444443,5.172222222222222
yellow,Brooklyn,South Williamsburg,32,0.25,1.0659375,27.55625,5.5375000000000005
yellow,Manhattan,Roosevelt Island,40,0.225,2.499,35.837,6.84975
yellow,Manhattan,Inwood,59,0.2033898305084746,1.5094915254237289,38.33728813559322,9.150338983050847
yellow,Queens,Douglaston,10,0.2,4.06,57.42,14.968
yellow,Queens,Hillcrest/Pomonok,55,0.18181818181818182,0.6821818181818182,32.12745454545455,8.152181818181818
yellow,Manhattan,Marble Hill,11,0.18181818181818182,0.8454545454545456,39.02727272727273,11.19090909090909
yellow,Queens,Ridgewood,42,0.16666666666666666,0.6569047619047619,28.333333333333332,5.477142857142857
yellow,Brooklyn,Sunset Park West,76,0.15789473684210525,1.1010526315789475,34.33684210526316,7.627236842105263
yellow,Brooklyn,Clinton Hill,174,0.15517241379310345,0.7399425287356322,27.260632183908047,5.711091954022988
yellow,Bronx,Highbridge,65,0.15384615384615385,1.129076923076923,40.791384615384615,9.314153846153845
yellow,Queens,Queensboro Hill,13,0.15384615384615385,0.7823076923076921,38.36153846153846,8.567692307692308
yellow,Brooklyn,Bedford,150,0.14666666666666667,0.5516,25.41133333333333,5.070866666666666
yellow,Queens,Forest Hills,132,0.14393939393939395,1.941287878787879,36.919999999999995,8.166515151515151
yellow,Queens,Bellerose,21,0.14285714285714285,8.673333333333332,43.9,13.243333333333334
yellow,Queens,Kew Gardens Hills,44,0.13636363636363635,1.199090909090909,38.175000000000004,10.50659090909091
yellow,Brooklyn,Bushwick South,149,0.12751677852348994,1.1286577181208053,29.331208053691277,58.55476510067114
yellow,Brooklyn,Kensington,32,0.125,0.6965625000000001,29.321875,5.5428125
yellow,Bronx,Van Cortlandt Park,8,0.125,5.555,42.4375,10.786249999999999
yellow,Queens,Fresh Meadows,20,0.1,1.4689999999999999,45.695,9.722
yellow,Queens,North Corona,20,0.1,1.4925000000000002,36.485,8.5165
yellow,Queens,Ozone Park,21,0.09523809523809523,2.6095238095238096,48.04761904761905,11.486190476190476
yellow,Bronx,Spuyten Duyvil/Kingsbridge,55,0.09090909090909091,1.2,34.838181818181816,8.920181818181819
yellow,Queens,Glen Oaks,11,0.09090909090909091,0.45454545454545453,54.09090909090909,13.504545454545456
yellow,Queens,Whitestone,11,0.09090909090909091,0.4636363636363636,37.09090909090909,10.134545454545453
yellow,Queens,Flushing,60,0.08333333333333333,0.48083333333333333,34.998333333333335,8.875166666666667
yellow,Brooklyn,Dyker Heights,24,0.08333333333333333,0.13333333333333333,34.14958333333333,7.814166666666666
yellow,Bronx,Belmont,37,0.08108108108108109,1.2216216216216218,39.95675675675676,10.415135135135136
yellow,Queens,Rosedale,38,0.07894736842105263,3.577105263157895,57.300000000000004,14.205526315789475
yellow,Queens,Glendale,26,0.07692307692307693,0.895,36.07346153846154,8.708461538461538
yellow,Queens,Oakland Gardens,13,0.07692307692307693,0.8923076923076922,41.88461538461539,11.35923076923077
yellow,Brooklyn,Ocean Parkway South,14,0.07142857142857142,0.55,31.857142857142858,6.471428571428572
yellow,Brooklyn,Crown Heights South,107,0.06542056074766354,0.4205607476635514,27.16728971962617,5.585700934579439
yellow,Queens,Queens Village,64,0.0625,1.50234375,49.553125,13.455625
yellow,Bronx,Schuylerville/Edgewater Park,33,0.06060606060606061,0.2972727272727273,41.00606060606061,11.004242424242424
yellow,Bronx,Longwood,34,0.058823529411764705,0.5882352941176471,35.6,8.78264705882353
yellow,Bronx,Mott Haven/Port Morris,105,0.05714285714285714,0.31466666666666665,33.142857142857146,7.729047619047619
yellow,Queens,Murray Hill-Queens,18,0.05555555555555555,0.1822222222222222,38.855555555555554,10.751111111111111
yellow,Queens,Cambria Heights,41,0.04878048780487805,1.7073170731707317,52.3780487804878,15.307317073170733
yellow,Queens,Laurelton,42,0.047619047619047616,0.18119047619047618,48.9952380952381,13.914761904761903
yellow,Queens,Woodhaven,42,0.047619047619047616,0.7833333333333334,36.523809523809526,7.7873809523809525
yellow,Brooklyn,Ocean Hill,150,0.04666666666666667,0.41213333333333335,30.152,6.3662
yellow,Bronx,Soundview/Castle Hill,109,0.045871559633027525,0.35110091743119265,34.939449541284404,9.031009174311926
yellow,Bronx,Kingsbridge Heights,46,0.043478260869565216,0.06956521739130435,36.80717391304348,9.111521739130435
yellow,Brooklyn,Bay Ridge,122,0.040983606557377046,0.2452459016393443,36.58688524590164,8.779426229508196
yellow,Queens,Jamaica Estates,49,0.04081632653061224,0.21204081632653063,38.79571428571428,10.976734693877551
yellow,Brooklyn,Homecrest,77,0.03896103896103896,0.2012987012987013,33.335064935064935,8.145974025974025
yellow,Brooklyn,Crown Heights North,363,0.03856749311294766,0.1887052341597796,27.611818181818183,5.8557575757575755
yellow,Bronx,Mount Hope,52,0.038461538461538464,0.630576923076923,40.01923076923077,9.683653846153847
yellow,Brooklyn,Prospect-Lefferts Gardens,267,0.03745318352059925,0.21794007490636702,28.53932584269663,6.099775280898877
yellow,Brooklyn,Stuyvesant Heights,218,0.03669724770642202,0.3060091743119266,27.367201834862385,5.605412844036698
yellow,Brooklyn,Borough Park,84,0.03571428571428571,0.22833333333333333,28.82630952380952,7.108214285714286
yellow,Queens,Rockaway Park,28,0.03571428571428571,0.07214285714285715,50.574999999999996,14.300714285714287
yellow,Brooklyn,Flatbush/Ditmas Park,253,0.03557312252964427,0.14541501976284585,30.93517786561265,7.481462450592885
yellow,Bronx,Van Nest/Morris Park,57,0.03508771929824561,0.33368421052631586,34.31228070175438,9.008771929824562
yellow,Bronx,Soundview/Bruckner,29,0.034482758620689655,0.33275862068965517,36.36896551724138,10.10206896551724
yellow,Brooklyn,Cypress Hills,59,0.03389830508474576,0.4194915254237288,37.46610169491525,8.042203389830508
yellow,Bronx,University Heights/Morris Heights,90,0.03333333333333333,0.32333333333333336,35.778888888888886,8.836555555555556
yellow,Brooklyn,Marine Park/Mill Basin,91,0.03296703296703297,0.3848351648351649,34.31208791208791,7.165384615384615
yellow,Brooklyn,Manhattan Beach,32,0.03125,0.176875,40.915625,10.7653125
yellow,Brooklyn,Bensonhurst West,68,0.029411764705882353,0.7354411764705882,36.635588235294115,7.926470588235294
yellow,Brooklyn,Midwood,103,0.02912621359223301,0.12932038834951456,29.75145631067961,6.345825242718447
yellow,Bronx,Claremont/Bathgate,69,0.028985507246376812,0.1634782608695652,37.81739130434783,10.532463768115942
yellow,Queens,Springfield Gardens North,104,0.028846153846153848,0.39009615384615387,39.972115384615385,10.078557692307694
yellow,Bronx,Morrisania/Melrose,80,0.025,0.10474999999999998,32.4835,7.680625000000001
yellow,Bronx,Eastchester,40,0.025,0.08499999999999999,41.489999999999995,12.2635
yellow,Brooklyn,Coney Island,166,0.024096385542168676,0.3292168674698795,43.80722891566265,11.834759036144577
yellow,Bronx,Riverdale/North Riverdale/Fieldston,43,0.023255813953488372,0.09976744186046511,38.55348837209302,10.558837209302325
yellow,Brooklyn,Erasmus,97,0.020618556701030927,0.348659793814433,30.918350515463917,9.310206185567012
yellow,Bronx,Bronxdale,55,0.01818181818181818,0.09090909090909091,37.554545454545455,9.828545454545456
yellow,Bronx,Van Cortlandt Village,57,0.017543859649122806,0.017543859649122806,41.400000000000006,10.878070175438596
yellow,Bronx,Westchester Village/Unionport,60,0.016666666666666666,0.07566666666666667,36.35166666666667,9.986833333333333
yellow,Bronx,Bedford Park,63,0.015873015873015872,0.40555555555555556,40.23015873015873,10.782857142857141
yellow,Bronx,East Concourse/Concourse Village,132,0.015151515151515152,0.02212121212121212,32.53401515151515,155.0748484848485
yellow,Brooklyn,Brighton Beach,66,0.015151515151515152,0.00015151515151515152,37.656060606060606,10.020606060606061
yellow,Brooklyn,East New York,410,0.012195121951219513,0.13626829268292684,33.066097560975614,7.666365853658537
yellow,Bronx,Parkchester,88,0.011363636363636364,0.03727272727272727,38.1275,10.321363636363635
yellow,Brooklyn,Canarsie,273,0.01098901098901099,0.1986813186813187,37.30164835164835,36.00985347985348
yellow,Brooklyn,East New York/Pennsylvania Avenue,96,0.010416666666666666,0.041666666666666664,36.42916666666667,7.090416666666666
yellow,Brooklyn,Sheepshead Bay,97,0.010309278350515464,0.06288659793814433,39.04020618556701,9.13340206185567
yellow,Bronx,Williamsbridge/Olinville,100,0.01,0.03,39.9529,10.8204
yellow,Queens,Far Rockaway,103,0.009708737864077669,0.14388349514563106,51.952427184466025,15.927961165048544
yellow,Brooklyn,East Flatbush/Remsen Village,209,0.009569377990430622,0.08468899521531101,28.82684210526316,6.27732057416268
yellow,Bronx,Co-Op City,120,0.008333333333333333,0.24666666666666667,45.2875,12.67175
yellow,Queens,Saint Albans,135,0.007407407407407408,0.007407407407407408,41.23925925925926,11.627037037037038
yellow,Brooklyn,Brownsville,259,0.003861003861003861,0.06687258687258688,30.740154440154438,6.881119691119691
yellow,Brooklyn,East Flatbush/Farragut,179,0.0,0.0,29.391731843575418,6.364804469273743
yellow,Brooklyn,Flatlands,179,0.0,0.0,30.42737430167598,6.643575418994414
yellow,Brooklyn,Starrett City,126,0.0,0.0,34.00396825396825,7.980714285714286
yellow,Queens,Hammels/Arverne,84,0.0,0.0,51.26190476190476,13.710714285714285
yellow,Bronx,Melrose South,75,0.0,0.0,31.301333333333332,7.757066666666666
yellow,Bronx,East Tremont,63,0.0,0.0,36.42063492063492,9.896825396825397
yellow,Brooklyn,Gravesend,62,0.0,0.0,37.564516129032256,9.095161290322581
yellow,Bronx,Norwood,57,0.0,0.0,41.71228070175439,11.454561403508771
yellow,Bronx,Woodlawn/Wakefield,47,0.0,0.0,44.62765957446808,13.370212765957445
yellow,Brooklyn,Madison,41,0.0,0.0,32.573170731707314,7.2317073170731705
yellow,Brooklyn,Bensonhurst East,40,0.0,0.0,36.88,9.43725
yellow,Brooklyn,Sunset Park East,39,0.0,0.0,37.03846153846154,9.415384615384616
yellow,Bronx,Pelham Parkway,36,0.0,0.0,36.861111111111114,9.702777777777778
yellow,Bronx,West Farms/Bronx River,34,0.0,0.0,36.38235294117647,10.088235294117647
yellow,Bronx,Fordham South,32,0.0,0.0,38.9375,10.025
yellow,Bronx,Allerton/Pelham Gardens,31,0.0,0.0,38.016129032258064,9.606451612903227
yellow,Bronx,Hunts Point,31,0.0,0.0,37.67741935483871,9.558387096774194
yellow,Bronx,Crotona Park East,30,0.0,0.0,32.71333333333333,7.808333333333334
yellow,Queens,Hollis,25,0.0,0.0,42.34,12.072000000000001
yellow,Queens,Auburndale,16,0.0,0.0,37.12125,9.92625
yellow,Brooklyn,Bath Beach,15,0.0,0.0,44.96666666666667,12.846666666666666
yellow,Queens,Bayside,15,0.0,0.0,42.56666666666667,11.366666666666667
yellow,Bronx,Pelham Bay,14,0.0,0.0,44.42857142857143,14.307142857142855
yellow,Bronx,City Island,4,0.0,0.0,45.25,14.725
yellow,Queens,East Flushing,3,0.0,0.0,39.5,10.666666666666666
yellow,Manhattan,Highbridge Park,2,0.0,0.0,45.75,1.4749999999999999
yellow,Manhattan,Inwood Hill Park,2,0.0,0.0,40.0,9.85
yellow,Bronx,Country Club,1,0.0,0.0,51.5,17.1
yellow,Staten Island,Stapleton,1,0.0,0.0,237.0,16.43
