taxi_type,pickup_borough,pickup_zone,rows,tip_rate,avg_tip_amount,avg_fare_amount,avg_trip_distance
green,Brooklyn,Dyker Heights,13,0.9230769230769231,13.700769230769229,48.3,8.023076923076923
green,Brooklyn,Prospect Park,64,0.921875,5.24234375,23.5390625,4.24625
green,Brooklyn,Boerum Hill,1419,0.9182522903453136,3.616878083157153,18.075362931642,2.8155461592670896
green,Manhattan,Midtown Center,36,0.9166666666666666,2.783611111111111,12.702777777777778,1.6997222222222221
green,Manhattan,Gramercy,12,0.9166666666666666,3.15,12.333333333333334,1.9841666666666666
green,Manhattan,Union Sq,22,0.9090909090909091,3.497272727272727,15.75,2.1168181818181817
green,Queens,Forest Hills,11607,0.9082450245541484,3.5472111656758853,17.49894891014043,5.874187990006031
green,Queens,Astoria,3696,0.9074675324675324,3.396985930735931,15.849063852813853,2.5577380952380953
green,Brooklyn,Williamsburg (North Side),1398,0.9062947067238912,4.9972317596566525,26.722510729613735,3.835793991416309
green,Queens,Woodside,3453,0.9047205328699681,3.773437590501014,18.113819866782507,3.10377932232841
green,Manhattan,West Chelsea/Hudson Yards,51,0.9019607843137255,3.3068627450980395,15.852941176470589,2.343137254901961
green,Queens,Long Island City/Queens Plaza,345,0.9014492753623189,7.912811594202899,18.871014492753623,2.9233333333333333
green,Brooklyn,Greenpoint,553,0.8969258589511754,4.842043399638336,26.01518987341772,3.845931283905968
green,Queens,Steinway,1968,0.891260162601626,3.1761839430894305,13.995315040650405,2.328795731707317
green,Manhattan,Hamilton Heights,1413,0.8910120311394196,3.781932059447983,19.449327671620665,3.651245576786978
green,Brooklyn,Williamsburg (South Side),348,0.8908045977011494,4.55632183908046,24.16522988505747,3.691695402298851
green,Manhattan,World Trade Center,9,0.8888888888888888,3.7977777777777777,19.41111111111111,3.462222222222222
green,Brooklyn,Clinton Hill,188,0.8882978723404256,3.992712765957447,20.97446808510638,3.1957446808510634
green,Brooklyn,Park Slope,1127,0.8846495119787046,4.962839396628216,30.591668145519076,4.076495119787046
green,Queens,Elmhurst/Maspeth,2043,0.8756730298580518,3.5232941752325013,17.929559471365636,3.18647577092511
green,Queens,Elmhurst,9864,0.8723641524736415,3.7418217761557178,18.006076642335767,11.599798256285483
green,Manhattan,Lower East Side,23,0.8695652173913043,3.7756521739130435,16.752173913043478,2.7091304347826086
green,Queens,Flushing Meadows-Corona Park,3035,0.8691927512355848,9.469499176276772,58.839561779242175,9.637683690280065
green,Brooklyn,Prospect Heights,110,0.8636363636363636,5.212545454545454,21.85818181818182,2.6111818181818185
green,Manhattan,Manhattanville,905,0.8585635359116022,3.063270718232044,17.240662983425413,3.070707182320442
green,Queens,Old Astoria,351,0.8575498575498576,3.311766381766382,16.836296296296297,2.695014245014245
green,Bronx,Spuyten Duyvil/Kingsbridge,21,0.8571428571428571,5.708571428571428,36.69047619047619,6.051428571428572
green,Manhattan,Kips Bay,7,0.8571428571428571,2.7742857142857145,12.0,1.9342857142857144
green,Bronx,Highbridge,241,0.8547717842323651,9.993817427385894,58.50829875518672,8.082738589211619
green,Brooklyn,Bushwick North,172,0.8546511627906976,4.836802325581395,28.747616279069767,4.178779069767442
green,Manhattan,Central Harlem,9959,0.8489808213676072,2.891766241590521,14.721934933226228,2.3588643438096195
green,Queens,Jackson Heights,2723,0.8406169665809768,3.193253764230628,17.519122291590158,2.869629085567389
green,Queens,Sunnyside,265,0.8377358490566038,4.209471698113208,23.84422641509434,3.1633962264150943
green,Bronx,West Concourse,758,0.837730870712401,8.057097625329815,49.025263852242745,7.4143007915567285
green,Queens,Queensboro Hill,18,0.8333333333333334,5.858888888888888,34.36666666666667,4.855555555555556
green,Bronx,Westchester Village/Unionport,6,0.8333333333333334,1.7783333333333333,13.1,2.65
green,Queens,Maspeth,1204,0.8289036544850499,5.9678073089701,40.71237541528239,4.95952657807309
green,Brooklyn,Flatbush/Ditmas Park,102,0.8235294117647058,13.169117647058824,57.26960784313726,8.780000000000001
green,Queens,Kew Gardens,3124,0.8210627400768246,2.8073047375160054,15.342509603072983,2.6297631241997435
green,Queens,Jamaica Estates,11,0.8181818181818182,4.9790909090909095,29.20909090909091,4.507272727272727
green,Queens,Saint Albans,11,0.8181818181818182,2.330909090909091,25.227272727272727,1.5281818181818183
green,Brooklyn,East Williamsburg,1385,0.8173285198555956,5.939703971119133,42.50943682310469,4.870361010830325
green,Queens,Long Island City/Hunters Point,251,0.8167330677290837,3.597011952191235,20.323107569721117,3.585617529880478
green,Queens,Queensbridge/Ravenswood,473,0.8160676532769556,2.924820295983087,17.058562367864692,3.0512262156448204
green,Queens,Richmond Hill,108,0.8148148148148148,7.215648148148148,18.464814814814815,2.2544444444444443
green,Brooklyn,Red Hook,969,0.8132094943240454,8.935283797729618,58.325706914344686,9.965098039215686
green,Bronx,Bronx Park,41,0.8048780487804879,7.234634146341463,43.119512195121956,8.729756097560976
green,Brooklyn,Crown Heights South,25,0.8,3.6436,18.824,2.5424
green,Bronx,Parkchester,19,0.7894736842105263,2.593157894736842,15.794736842105264,1.924736842105263
green,Brooklyn,Sheepshead Bay,1055,0.7886255924170616,2.1278009478672986,10.976587677725117,1.6474502369668247
green,Queens,Rego Park,581,0.7882960413080895,3.106471600688468,18.880206540447503,3.0940275387263343
green,Bronx,Van Cortlandt Park,18,0.7777777777777778,0.9099999999999999,11.755555555555555,1.7516666666666667
green,Brooklyn,Brooklyn Navy Yard,250,0.776,6.3613599999999995,46.037879999999994,4.623480000000001
green,Brooklyn,Columbia Street,48,0.7708333333333334,6.513125,58.85208333333333,6.707916666666667
green,Queens,Jamaica,8815,0.7700510493477027,3.8711378332387976,24.22965513329552,4.65204310833806
green,Queens,Hillcrest/Pomonok,26,0.7692307692307693,4.048461538461539,28.883076923076924,5.298846153846155
green,Manhattan,Garment District,13,0.7692307692307693,2.3261538461538462,15.861538461538462,1.753076923076923
green,Queens,Flushing,1977,0.7678300455235205,3.4531310065756196,23.02901871522509,3.371315123925139
green,Unknown,Unknown,249,0.7670682730923695,3.6582329317269076,25.190160642570284,1.999879518072289
green,Queens,Willets Point,139,0.762589928057554,9.062805755395683,66.59424460431654,9.223165467625899
green,Brooklyn,South Williamsburg,42,0.7619047619047619,7.704047619047619,53.37619047619048,7.385238095238096
green,Queens,Briarwood/Jamaica Hills,54,0.7592592592592593,5.079259259259259,26.18148148148148,3.284259259259259
green,Queens,LaGuardia Airport,54,0.7592592592592593,10.81425925925926,65.00092592592593,7.897777777777778
green,Brooklyn,Sunset Park West,53,0.7547169811320755,5.109811320754717,43.990566037735846,7.207735849056603
green,Brooklyn,Bushwick South,44,0.75,4.318863636363637,30.40909090909091,3.1845454545454546
green,Brooklyn,Erasmus,20,0.75,4.2135,27.619999999999997,4.4025
green,Staten Island,Saint George/New Brighton,8,0.75,3.17,24.0375,3.70625
green,Bronx,Woodlawn/Wakefield,4,0.75,6.7524999999999995,29.450000000000003,4.8225
green,Brooklyn,Madison,4,0.75,4.155,24.7,5.0024999999999995
green,Brooklyn,Midwood,4,0.75,11.295,35.35,3.1799999999999997
green,Brooklyn,Sunset Park East,4,0.75,5.2175,30.65,5.6975
green,Queens,Douglaston,4,0.75,13.112499999999999,93.095,13.0975
green,Queens,Springfield Gardens South,59,0.7457627118644068,11.886949152542373,61.31016949152543,13.796101694915254
