time_split,taxi_type,rows,tip_rate,avg_tip_amount,positive_tip_rows
test,green,144000,0.9127986111111112,3.7340929166666665,131443
test,yellow,360000,0.92755,4.305699416666667,333918
train,green,108000,0.911074074074074,3.6664787962962966,98396
train,yellow,270000,0.9438962962962963,4.320876148148148,254852
valid,green,36000,0.9104444444444444,3.6585980555555557,32776
valid,yellow,90000,0.9442555555555555,4.428817888888889,84983
