taxi_type,pickup_borough,pickup_zone,rows,observed_tip_rate,predicted_tip_probability,observed_avg_tip,expected_tip,q10_tip,q50_tip,q90_tip
green,Brooklyn,Williamsburg (North Side),805,0.8782608695652174,0.40195975,5.216819875776397,2.0680583,2.5938165,6.1461515,7.9830155
green,Brooklyn,Stuyvesant Heights,12,0.4166666666666667,0.31829104,4.399166666666667,2.066209,3.0838892,7.354384,10.170277
green,Brooklyn,Brooklyn Heights,1402,0.9400855920114123,0.4547598,4.907510699001427,2.0592515,2.3268843,4.9583282,6.4731236
green,Manhattan,Highbridge Park,7,0.5714285714285714,0.35410732,2.9642857142857144,2.0376513,2.9264257,6.354566,8.726541
green,Manhattan,Washington Heights North,112,0.6160714285714286,0.44583216,3.2295535714285712,2.0289168,2.2423933,4.8879232,6.522273
green,Manhattan,Yorkville West,138,0.9565217391304348,0.54774654,3.8337681159420285,2.0153606,1.9191698,4.1740446,5.347514
green,Brooklyn,Greenpoint,267,0.8651685393258427,0.39697573,5.159850187265918,2.008536,2.6579688,6.04496,7.978418
green,Manhattan,Upper East Side North,1321,0.9712339137017411,0.60423523,3.527017411052233,1.9897653,1.8201681,3.7089937,4.616842
green,Queens,Maspeth,652,0.8220858895705522,0.28165886,6.2214570552147235,1.9738685,3.2429907,8.461964,11.291237
green,Queens,Whitestone,8,0.5,0.32805923,9.3125,1.8895804,2.8483987,5.885395,7.9134727
green,Brooklyn,Brighton Beach,15,0.5333333333333333,0.34027064,4.636666666666667,1.8876897,3.1915991,5.892403,8.024374
green,Brooklyn,Prospect Park,38,0.9736842105263158,0.39855972,6.507631578947368,1.8600781,2.3758564,5.5179744,7.5586467
green,Bronx,Norwood,16,0.75,0.27774525,4.850625,1.8407731,2.8139057,6.715999,8.598795
green,Manhattan,Inwood,34,0.7352941176470589,0.4288476,3.8529411764705883,1.8033502,2.0907748,4.316623,5.45071
green,Brooklyn,Homecrest,4,1.0,0.36915258,2.55,1.7864743,2.8313103,5.699974,7.590215
green,Manhattan,East Harlem North,43621,0.9424130579308131,0.52798504,3.407654799293918,1.7817681,1.8088926,3.6678524,4.665661
green,Manhattan,Bloomingdale,1051,0.9314938154138915,0.5394127,3.3006470028544244,1.7744612,1.7483917,3.5835965,4.5040584
green,Manhattan,Morningside Heights,6924,0.9468515309069901,0.49364835,3.6969844020797225,1.7560158,1.8913774,3.7996328,4.929474
green,Brooklyn,Green-Wood Cemetery,1,0.0,0.48522732,0.0,1.7549998,1.8765512,4.0637236,5.28285
green,Manhattan,East Harlem South,22991,0.9334087251533209,0.5112668,3.2974259492845026,1.7131314,1.77635,3.6396136,4.7026362
green,Manhattan,Hamilton Heights,695,0.897841726618705,0.42601836,3.709640287769784,1.6985353,1.9979522,4.1210446,5.387889
green,Bronx,West Farms/Bronx River,4,0.5,0.21264601,5.55,1.696311,2.0428813,7.2876945,9.857585
green,Brooklyn,Downtown Brooklyn/MetroTech,4695,0.9286474973375932,0.42794925,4.210300319488818,1.680195,2.1592293,4.421259,5.7619395
green,Brooklyn,Bushwick North,66,0.8333333333333334,0.2992793,5.362575757575757,1.6697147,2.8158205,6.576234,8.771618
green,Brooklyn,Windsor Terrace,11,0.9090909090909091,0.35939875,8.148181818181818,1.6577569,2.7629158,6.2163754,8.769349
green,Brooklyn,Carroll Gardens,74,0.8918918918918919,0.40453622,4.050810810810811,1.6541814,2.1136944,4.2524347,5.505077
green,Queens,North Corona,34,0.6470588235294118,0.20951268,7.827647058823529,1.6506448,2.8816438,8.98233,13.348656
green,Queens,East Elmhurst,19,0.5789473684210527,0.24118948,5.881578947368421,1.647117,3.1635602,7.9845815,11.142151
green,Brooklyn,Clinton Hill,85,0.8705882352941177,0.3975557,3.4023529411764706,1.6399579,2.1704025,4.6793876,6.0064273
green,Queens,Sunnyside,115,0.8608695652173913,0.36864704,4.819826086956522,1.6250226,2.2533867,4.995433,6.9998546
green,Brooklyn,Erasmus,6,0.8333333333333334,0.32961804,3.5583333333333336,1.6172673,2.5072117,5.389967,7.1403823
green,Manhattan,Manhattanville,382,0.8481675392670157,0.43227458,2.849764397905759,1.5868549,1.9027367,3.8544402,4.9914026
green,Queens,College Point,13,0.6153846153846154,0.32367378,4.938461538461539,1.5752041,2.4354117,5.516799,7.7480826
green,Brooklyn,Crown Heights North,42,0.6904761904761905,0.35549968,3.375,1.5685332,2.0824056,4.7723956,6.2767916
green,Brooklyn,Crown Heights South,8,0.75,0.35459426,4.945,1.5533521,2.4512954,4.96982,6.2843657
green,Brooklyn,Williamsburg (South Side),101,0.8613861386138614,0.36037147,4.793564356435644,1.5505404,2.076864,4.927667,6.6059494
green,Brooklyn,Prospect Heights,46,0.8695652173913043,0.3743598,5.258260869565217,1.547352,2.2461965,4.5374312,6.052097
green,Queens,Long Island City/Queens Plaza,190,0.9105263157894737,0.4122562,8.99221052631579,1.5230042,1.9692606,4.231755,5.5640144
green,Queens,Ridgewood,35,0.6857142857142857,0.24672833,5.067714285714286,1.5080738,3.0636892,7.228327,10.230607
green,Queens,Elmhurst/Maspeth,1051,0.8772597526165556,0.39582172,3.45546146527117,1.4794687,2.033763,4.0071716,5.1296535
green,Queens,Jamaica,5050,0.7675247524752475,0.31026334,3.9917267326732677,1.4550698,2.253746,5.2249327,7.025878
green,Brooklyn,Boerum Hill,690,0.9057971014492754,0.390097,3.5387971014492754,1.4508429,2.015278,3.976774,5.2395644
green,Queens,Baisley Park,20,0.7,0.2619671,3.6295,1.4393183,2.6396809,5.776058,7.699566
green,Queens,Hillcrest/Pomonok,11,0.7272727272727273,0.27810743,3.200909090909091,1.4377724,2.4920332,5.2312245,6.808202
green,Queens,Glendale,4,1.0,0.30095625,6.29,1.4351456,2.8977983,5.6636987,7.3486185
green,Brooklyn,East New York,8,0.375,0.30531314,2.8625,1.4306248,2.531024,5.2357664,7.0773234
green,Brooklyn,Bushwick South,16,0.875,0.2708965,5.476875,1.4295791,2.6588068,6.364516,9.028028
green,Brooklyn,Gowanus,11,1.0,0.3763156,3.411818181818182,1.4222697,1.871613,3.8082511,5.103107
green,Queens,Queensboro Hill,10,0.9,0.27780408,6.8420000000000005,1.4201471,2.6804793,6.699552,11.034586
green,Queens,Forest Park/Highland Park,1,1.0,0.3609544,2.0,1.4177662,2.5525923,4.4823008,5.507406
green,Brooklyn,Fort Greene,5747,0.9232643118148599,0.40152156,3.6165199234383154,1.4173298,1.9596115,3.823917,4.852129
green,Queens,Woodhaven,2,1.0,0.3017981,3.83,1.4090718,2.6810763,5.0015497,7.1244106
green,Brooklyn,Ocean Hill,5,0.6,0.31498748,3.192,1.4045228,2.1445432,4.8777475,6.687336
green,Manhattan,Central Harlem,4678,0.8582727661393758,0.419257,2.867005130397606,1.3930725,1.716535,3.441496,4.4212427
green,Queens,Rockaway Park,1,1.0,0.3802071,0.1,1.379546,2.1187434,4.2425632,5.4547677
green,Brooklyn,Marine Park/Mill Basin,1,0.0,0.11867684,0.0,1.3735548,6.896709,14.995397,21.453876
green,Brooklyn,Brownsville,4,0.25,0.31970555,1.75,1.3711987,2.5339594,4.5084095,6.2884707
green,Queens,Saint Albans,7,0.7142857142857143,0.32532415,1.9842857142857144,1.3698637,2.2211947,5.040974,6.5746274
green,Bronx,University Heights/Morris Heights,7,0.8571428571428571,0.21095678,2.1985714285714284,1.3679683,2.6042488,8.211821,11.254295
green,Bronx,Williamsbridge/Olinville,3,0.6666666666666666,0.21457696,8.563333333333333,1.3655295,2.6170366,6.8315377,9.546534
green,Queens,Briarwood/Jamaica Hills,29,0.7931034482758621,0.2730069,3.9444827586206896,1.3633906,2.250406,5.506676,7.699519
green,Brooklyn,Flatlands,6,0.3333333333333333,0.20641284,1.0833333333333333,1.3432798,3.2985601,11.612468,18.550621
green,Bronx,Bronxdale,8,0.25,0.1940442,2.45625,1.338193,2.6932354,6.6940494,9.594476
green,Brooklyn,Bedford,43,0.5348837209302325,0.29469746,2.2006976744186044,1.3364903,2.4962037,5.425105,7.301297
green,Queens,Jackson Heights,1352,0.8439349112426036,0.35550126,3.130621301775148,1.3336749,1.972463,4.0385485,5.389554
green,Queens,Elmhurst,4501,0.8740279937791602,0.33533868,3.74422794934459,1.3335961,2.1072195,4.3204007,5.7003713
green,Queens,South Ozone Park,43,0.5813953488372093,0.2726915,2.076046511627907,1.3258824,2.286329,5.5843234,7.8143077
green,Queens,Long Island City/Hunters Point,129,0.7906976744186046,0.34735647,3.454031007751938,1.3176723,1.9466864,4.322058,5.7794933
green,Brooklyn,East Flatbush/Farragut,2,0.5,0.35555592,2.72,1.3134084,1.7512071,4.1524835,5.472872
green,Queens,Forest Hills,5798,0.9077268023456364,0.35699373,3.5434339427388757,1.3096752,2.029078,3.9645174,5.2559967
green,Manhattan,Central Harlem North,1559,0.7536882617062219,0.37672997,2.5071520205259783,1.3001047,1.7607458,3.5141344,4.5937824
green,Staten Island,South Beach/Dongan Hills,1,1.0,0.33810842,4.82,1.2939584,1.8472,4.3154793,5.745307
green,Queens,Old Astoria,165,0.8727272727272727,0.34728068,3.141636363636364,1.2865558,1.8767871,3.7250373,5.0349226
green,Bronx,Soundview/Castle Hill,2,0.5,0.2831961,3.32,1.2857726,2.1140172,5.0478716,6.94318
green,Brooklyn,Cobble Hill,188,0.9627659574468085,0.37026745,3.5595744680851067,1.2702842,1.8384234,3.4611738,4.4513946
green,Queens,Woodside,1348,0.900593471810089,0.32724893,3.8137759643916915,1.2666812,2.0361483,4.212588,5.640303
green,Brooklyn,Prospect-Lefferts Gardens,12,0.9166666666666666,0.34201396,3.641666666666667,1.2634355,1.9167757,3.7901099,5.093068
green,Bronx,Kingsbridge Heights,13,0.15384615384615385,0.15732385,0.4984615384615385,1.2541753,3.7258983,11.573746,17.475023
green,Bronx,Woodlawn/Wakefield,2,0.5,0.24114577,6.765,1.2469336,2.5792902,5.5205584,7.2033443
green,Queens,Astoria,1530,0.9137254901960784,0.3543335,3.5505686274509802,1.2288737,1.8108093,3.5842881,4.723858
green,Brooklyn,Borough Park,2,1.0,0.37963837,4.125,1.2253838,2.0067284,3.364927,4.439865
