taxi_type,pickup_hour,trips,tip_rate,avg_tip_amount
green,0,2253,0.8406569019085663,4.063559698180205
green,1,1456,0.8104395604395604,3.902630494505494
green,2,1013,0.8223099703849951,4.400039486673248
green,3,744,0.8145161290322581,4.639368279569893
green,4,641,0.7644305772230889,5.049797191887675
green,5,706,0.8526912181303116,4.482549575070821
green,6,2569,0.9061891786687427,3.0595834955235497
green,7,5908,0.903182125930941,3.1664014895057546
green,8,7371,0.9085605752272419,3.5008574141907474
green,9,7338,0.9294085581902426,3.6905573725810847
green,10,6971,0.9298522450150624,3.918040453306556
green,11,6886,0.9285506825442927,3.9462343886145805
green,12,7445,0.9266621893888516,3.781392881128274
green,13,7403,0.9227340267459139,3.7137309198973387
green,14,8421,0.9173494834342715,3.7348806555040968
green,15,9491,0.9159203455905595,3.7074639131809084
green,16,11013,0.9156451466448743,3.828558067738128
green,17,12225,0.923680981595092,3.741045398773006
green,18,11985,0.9249061326658323,3.587505214851898
green,19,9367,0.918010035230063,3.5084648233158964
green,20,7320,0.9209016393442623,3.55695218579235
green,21,6332,0.9123499684144031,4.046937776373973
green,22,5306,0.894647568790049,4.394543912551828
green,23,3836,0.863660062565172,4.208245568300312
yellow,0,9270,0.9223300970873787,4.465785329018339
yellow,1,6080,0.8995065789473684,3.9042039473684214
yellow,2,3791,0.8873648113954102,3.512978106040623
yellow,3,2453,0.8601712189156135,3.6008683245006115
yellow,4,1626,0.8271832718327183,4.767712177121771
yellow,5,1887,0.7991520932697403,4.741960784313726
yellow,6,4455,0.826936026936027,4.045010101010101
yellow,7,9408,0.8880739795918368,3.8146056547619045
yellow,8,13106,0.9081336792308866,3.778460247215016
yellow,9,15263,0.9139749721548843,3.8943582519819167
yellow,10,16351,0.9161519173139258,4.054271909974925
yellow,11,18206,0.9130506426452818,4.094123915192793
yellow,12,19418,0.9184262024925327,4.204586466165414
yellow,13,20299,0.9213754372136559,4.3567845706685056
yellow,14,21537,0.926637878998932,4.579680549751591
yellow,15,22825,0.9291128148959474,4.413490909090909
yellow,16,23284,0.9341178491668098,4.789290929393575
yellow,17,25545,0.941788999804267,4.498689371697005
yellow,18,26490,0.9439788599471499,4.27460966402416
yellow,19,23424,0.9433913934426229,4.295137465846994
yellow,20,21045,0.9486338797814208,4.323608933238299
yellow,21,21484,0.950148948054366,4.366637963135357
yellow,22,18913,0.9441653888859515,4.387784592608258
yellow,23,13840,0.9273843930635838,4.524526011560694
