epoch,train_mae
10,1.9105801582336426
20,1.2925602197647095
30,0.9235526323318481
40,0.9239550828933716
50,0.8525952696800232
60,0.8341687321662903
70,0.8157086968421936
80,0.7933476567268372
90,0.7791632413864136
100,0.773503839969635
110,0.7688692808151245
120,0.7657816410064697
130,0.7631564140319824
140,0.7608129978179932
150,0.7594355344772339
160,0.7580681443214417
170,0.7569546699523926
180,0.7550009489059448
190,0.7535995841026306
200,0.7522504925727844
210,0.7506936192512512
220,0.749210000038147
230,0.7506322860717773
240,0.7461952567100525
250,0.7454671859741211
260,0.7439790964126587
270,0.7431952357292175
280,0.7405755519866943
290,0.7379975318908691
300,0.7358638048171997
310,0.7343124151229858
320,0.732702910900116
330,0.7306000590324402
340,0.7293790578842163
350,0.7284393906593323
360,0.7296317219734192
370,0.7257680892944336
380,0.7246513366699219
390,0.724267303943634
400,0.7226918339729309
410,0.7258859276771545
420,0.7202275395393372
430,0.7187368869781494
440,0.7182425260543823
450,0.7171521782875061
460,0.7158107161521912
470,0.7163698673248291
480,0.7143359184265137
490,0.7128171324729919
500,0.712060272693634
